location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
20150102T0000,-0.51947135,6.790529,2.5559452,64.0,89.0,78.041664,1034.3,1037.4,1035.5294,2.6,0.0,53.8875,35.0,38.791668,43.916668,19.292553,880.20996,385.62558,494.5844,0.25776002,0.4676384,0.0,19.0,2.375,1.08,34.2,18.48,3.396233,15.39184,8.106652,221.08176,4.0249224,23.510508,11.613305,242.8189,4.829907,61.199997,33.44083,276.61346,5.3999996,60.275013,35.167507,282.6118,12.768586,80.16449,50.662292,304.23727,23.770906,104.5972,59.071686,309.92877,276.0,300.0,283.125,1596.0,1615.0,1604.875,3156.0,3179.0,3168.9583,5733.0,5781.0,5765.2085,-0.34,8.07,3.5375001,-1.13,6.66,4.5845838,-4.12,-0.6,-1.8216667,-0.74,6.61,1.95375,0.55999756,3.8200073,1.971255,0.312,0.331,0.31758332,0.8699608,2.5624228,1.567947
20150103T0000,0.31052867,10.510529,5.0117784,82.0,97.0,89.541664,1019.8,1038.3,1029.4501,3.6000001,0.0,72.137505,30.041666,28.666666,72.0,37.02128,799.22,376.72913,422.49084,0.31824002,0.536771,0.0,303.0,33.083332,5.7599998,77.03999,33.704998,2.7416782,49.293716,19.498835,245.85107,1.484318,62.271675,24.085388,251.94037,11.609651,122.08884,60.403095,273.34088,28.551426,124.47881,66.42853,282.319,69.391335,129.62648,90.54703,294.8705,89.07146,161.19199,118.97089,303.4789,165.0,306.0,236.91667,1511.0,1611.0,1559.0834,3061.0,3160.0,3114.75,5637.0,5736.0,5694.4165,-0.52,11.64,5.47,-1.14,7.82,3.1195838,-5.12,-2.3,-3.712917,-0.49,8.55,4.3929167,1.3800049,7.6900024,3.9770877,0.312,0.331,0.320375,0.18889761,1.8247042,1.0199214
20150104T0000,2.1405284,10.340529,4.181779,70.0,91.0,80.541664,1022.5,1040.2,1034.0624,1.6,0.0,47.416668,0.0,0.0,47.416668,356.46982,1288.72,770.0029,518.71704,0.77471995,0.5618734,0.0,79.0,9.416667,2.16,55.44,16.349998,2.9024127,37.441727,11.207848,299.74487,1.4399999,47.88,13.571994,305.20963,2.8799999,90.584175,28.094637,332.96387,10.948973,90.85775,34.109653,335.62946,66.66224,94.00964,77.55787,337.81113,118.32997,168.88643,143.75685,336.30408,187.0,319.0,272.91666,1523.0,1615.0,1572.25,3064.0,3134.0,3088.5,5576.0,5656.0,5608.4165,2.08,11.13,4.01625,-7.29,2.97,-4.1058335,-10.95,-6.32,-9.254583,-0.2,8.93,4.1495843,1.8200073,7.869995,4.8150086,0.319,0.331,0.32512507,0.67595816,2.5775208,1.5918102
20150105T0000,-0.93947136,6.1205287,1.6238621,65.0,96.0,83.333336,1032.2,1040.2,1036.2792,0.0,0.0,0.0,0.0,0.0,0.0,519.4667,1854.7599,1044.2203,810.5396,0.31535998,0.6324523,0.0,0.0,0.0,3.2399998,10.440001,5.745001,5.6920996,9.746631,7.6911526,103.35059,6.151683,21.407139,13.761363,112.94788,1.2979984,13.049689,6.352834,276.22845,3.8268526,14.291592,9.998254,324.66275,31.435646,61.25186,45.405727,354.77792,53.323765,123.25466,83.087166,356.85358,256.0,316.0,287.625,1580.0,1617.0,1600.5834,3128.0,3149.0,3136.8333,5658.0,5702.0,5682.7915,-1.87,6.4,2.17375,-3.53,3.75,0.6387499,-9.77,-5.59,-7.1408334,-0.71,6.35,1.3004167,1.3200073,4.8399963,2.194589,0.323,0.338,0.32679164,0.22946024,3.012301,1.2571021
20150106T0000,-0.26947135,6.6605287,3.2246954,50.0,82.0,69.416664,1025.4,1032.3,1028.871,0.0,0.0,21.258333,35.583332,19.208334,0.0,338.20917,1931.2999,1087.409,843.8909,0.26784,0.79638803,0.0,0.0,0.0,0.35999998,32.399998,6.4649997,1.484318,10.1887,5.7034707,124.18304,0.8049845,18.947083,9.053447,146.1842,5.6002855,33.887836,12.125275,262.39572,9.107359,28.880886,14.5414095,271.13858,18.218275,32.048088,24.582983,309.65265,17.782686,48.73315,37.198265,324.9525,205.0,257.0,230.875,1536.0,1581.0,1558.5834,3095.0,3129.0,3112.0,5657.0,5704.0,5684.2085,3.17,8.36,5.78125,3.46,5.61,4.5883336,-5.43,-3.82,-4.706667,-0.68,7.06,1.9333333,1.0500183,5.450012,2.3141747,0.325,0.339,0.32812497,1.1362381,3.467178,2.3242824
20150107T0000,2.9405286,7.9205284,4.9063616,68.0,88.0,79.083336,1029.7,1033.8,1032.0416,0.0,0.0,72.36667,18.75,7.5833335,67.125,0.0,1360.8099,802.5598,558.2501,0.38735998,0.59053934,0.0,18.0,5.375,7.2,27.359999,14.714999,1.4399999,11.367109,5.4641194,222.94794,1.8,20.88,9.245539,249.48187,23.828083,36.217144,29.938402,272.5972,15.39184,35.428463,28.028069,274.0026,21.252197,41.401566,32.72913,284.37067,26.309572,60.78032,44.37923,306.3092,238.0,272.0,258.0,1555.0,1590.0,1571.9166,3098.0,3121.0,3108.8333,5635.0,5690.0,5659.3335,4.63,7.79,6.047917,-2.1,2.81,-0.86750007,-8.24,-4.6,-5.7995834,-0.28,8.99,3.7579167,0.91000366,7.119995,3.5883396,0.321,0.327,0.32308334,0.909626,3.2171955,1.8359753
20150108T0000,2.1405284,10.520529,6.7726116,62.0,88.0,75.625,1031.3,1034.6,1033.2208,0.2,0.0,56.00417,18.958334,22.583334,51.5,178.76978,1627.81,941.5369,686.2731,0.92160004,1.174058,0.0,14.0,2.2916667,16.199999,53.28,30.149994,7.6367526,33.84766,17.514164,236.84207,15.990646,44.009907,26.324234,242.75095,29.601109,86.50943,56.337246,264.39795,30.77105,87.33469,53.997845,270.1457,31.557035,86.49969,50.394623,283.15866,27.820337,130.21504,53.64596,295.2934,257.0,279.0,269.41666,1581.0,1605.0,1590.7916,3124.0,3156.0,3137.4583,5682.0,5739.0,5714.4585,6.07,10.24,8.434167,-1.31,2.65,0.66541666,-7.95,-2.83,-4.2570834,0.77,10.92,5.2900004,1.730011,8.890015,4.8837547,0.317,0.322,0.31995836,0.863009,4.567075,2.6063159
20150109T0000,6.4205284,12.120529,8.943444,47.0,90.0,75.5,1027.3,1038.8,1033.9166,0.8000001,0.0,77.5,66.25,70.041664,56.0,34.468082,956.75,469.87027,486.8797,1.1390401,1.291367,0.0,15.0,3.1666667,25.919998,66.24,41.489998,12.522619,43.525772,25.703024,252.05603,19.93048,55.82902,34.564034,252.50085,44.29317,106.609245,75.64178,270.504,48.117603,102.85231,70.9218,283.31708,57.479496,109.530556,86.91065,306.90393,91.24703,146.20522,119.75582,315.50958,227.0,313.0,277.125,1573.0,1629.0,1605.4166,3144.0,3178.0,3159.125,5710.0,5758.0,5734.2915,6.62,12.76,9.209582,-0.97,7.9,3.2766666,-7.71,-0.2,-4.4666667,4.74,10.14,7.5870833,5.330017,8.959991,6.9966736,0.314,0.326,0.31995833,0.96075535,6.6667075,2.8796978
20150110T0000,12.120529,15.370529,13.345113,68.0,83.0,77.416664,1017.8,1026.9,1022.9709,0.0,0.0,82.125,33.875,57.083332,44.958332,176.17021,1829.84,1033.4869,796.35315,1.58256,1.8992728,0.0,155.0,46.541668,47.16,64.799995,57.690002,31.68,44.12754,37.99038,259.3092,41.039997,54.588394,48.739788,259.09976,82.073685,110.40267,97.686104,275.19763,75.94293,108.496254,95.52076,290.13037,97.660904,118.8856,105.67162,297.8751,116.384155,140.79866,125.12045,299.1104,150.0,224.0,192.58333,1497.0,1581.0,1544.7916,3057.0,3166.0,3119.75,5647.0,5776.0,5724.5835,12.89,15.6,13.982917,3.54,10.32,7.549166,-5.36,1.03,-0.9958334,10.23,15.72,12.134583,9.160004,13.580017,11.065005,0.315,0.322,0.3178333,2.4818773,5.577651,3.5089312
20150111T0000,3.8805285,11.530529,5.5330276,69.0,86.0,75.916664,1019.0,1030.7,1025.7125,0.90000004,0.0,72.666664,16.583334,58.791668,57.0,280.68832,1506.7701,893.28314,613.4869,1.5321598,1.1086147,0.0,84.0,18.416666,28.8,49.32,40.274998,15.9134655,36.832767,27.562872,271.41443,18.626305,48.04348,35.122196,272.0418,36.233246,76.93984,58.144855,286.06824,45.721416,69.27919,58.79994,295.85144,72.24618,101.98171,86.58044,302.16046,121.2778,149.07521,137.39912,301.99747,159.0,247.0,208.41667,1484.0,1546.0,1512.25,2979.0,3055.0,3021.0,5462.0,5615.0,5530.125,3.99,12.25,5.5908337,-5.34,3.59,-3.975417,-16.36,-5.82,-11.84875,2.94,10.75,5.644167,3.9299927,10.580017,6.5120873,0.312,0.32,0.3155833,1.5421295,2.9773674,2.1760666
